字段编号,字段名称,业务键,单位,类型,共同规则
J001,报告年份,year,年,request,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J002,报告周期,report_period,上半年/下半年/全年,request,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J003,电站资料编码,station_code,编码,station,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J004,电站名称,station_name,文本,station,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J005,定检日期,inspection_date,日期,event,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J006,定检员签认位,inspector_sign,签认,signature,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J007,编制人签认位,preparer_sign,签认,signature,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J008,审核人签认位,reviewer_sign,签认,signature,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J009,批准人签认位,approver_sign,签认,signature,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J010,报告出具单位,issuing_org,文本,event,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J011,并网容量,capacity,MW,station,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J012,并网电压,voltage,kV,station,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J013,并网时间,grid_date,日期,station,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J014,定检参与人员,inspection_people,文本,event,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J015,本次定检依据,basis,标准及版本,event,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J016,本次使用仪器,instruments,清单,event,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J017,安全工器具及其他,safety_tools,清单,event,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J018,安全措施,safety_measures,文本,event,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J019,注意事项,precautions,文本,event,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J020,工作量序号,workload.seq,序号,workload,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J021,工作量设备名称,workload.device,文本,workload,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J022,工作量设备型号,workload.model,文本,workload,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J023,工作量计量单位,workload.unit,单位,workload,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J024,设备数量,workload.quantity,按计量单位,workload,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J025,实际定检完成数量,workload.completed,按计量单位,workload,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J026,定检结果,workload.result,文本,workload,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J027,工作量备注,workload.notes,文本,workload,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J028,缺陷序号,defects.seq,序号,defects,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J029,缺陷设备名称,defects.device,文本,defects,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J030,缺陷隐患项目,defects.issue,文本,defects,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J031,缺陷处理结果,defects.treatment,文本,defects,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J032,缺陷备注,defects.notes,文本,defects,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J033,遗留问题整改计划,remaining_plan,文本,event,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J034,定检结论,conclusion,文本,event,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J035,设备结果序号,results.seq,序号,results,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J036,设备名称或编号,results.device_id,文本,results,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J037,设备检查情况,results.finding,文本,results,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J038,设备定检照片,results.photo,图片,results,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J039,设备处理结果,results.treatment,文本,results,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J040,票据类型,tickets.type,文本,tickets,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J041,票据编号,tickets.number,编号,tickets,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
J042,票据附件,tickets.attachment,文件,tickets,设备结果字段必须带设备模块与记录标识；签字照片需独立来源
